State,City,AverageTemperature,Country,Date,RecordId,X,Y
Illinois,Chicago,4.083,United States,2000-02-01,54749,2,
Illinois,Chicago,8.274000000000001,United States,2000-03-01,54750,2,True
Illinois,Chicago,7.615,United States,2000-04-01,54751,2,
Illinois,Chicago,13.867,United States,2000-05-01,54752,2,
Illinois,Chicago,17.939,United States,2000-06-01,54753,2,True
Illinois,Chicago,21.087,United States,2000-07-01,54754,2,
Illinois,Chicago,22.84,United States,2000-08-01,54755,2,
Illinois,Chicago,19.061,United States,2000-09-01,54756,2,True
Illinois,Chicago,15.11,United States,2000-10-01,54757,2,
Illinois,Chicago,6.824,United States,2000-11-01,54758,2,
Illinois,Chicago,-3.761000000000001,United States,2000-12-01,54759,2,True
Illinois,Chicago,0.5980000000000003,United States,2001-01-01,54760,2,
Illinois,Chicago,0.4370000000000001,United States,2001-02-01,54761,2,
Illinois,Chicago,2.763,United States,2001-03-01,54762,2,True
Illinois,Chicago,10.273,United States,2001-04-01,54763,2,
Illinois,Chicago,13.508,United States,2001-05-01,54764,2,
Illinois,Chicago,17.654,United States,2001-06-01,54765,2,True
Illinois,Chicago,22.661,United States,2001-07-01,54766,2,
Illinois,Chicago,23.986,United States,2001-08-01,54767,2,
Illinois,Chicago,18.088,United States,2001-09-01,54768,2,True
Illinois,Chicago,13.081,United States,2001-10-01,54769,2,
Illinois,Chicago,11.986999999999998,United States,2001-11-01,54770,2,
Illinois,Chicago,5.401,United States,2001-12-01,54771,2,True
Illinois,Chicago,4.0299999999999985,United States,2002-01-01,54772,2,
Illinois,Chicago,3.846000000000001,United States,2002-02-01,54773,2,
Illinois,Chicago,2.565,United States,2002-03-01,54774,2,True
Illinois,Chicago,8.547,United States,2002-04-01,54775,2,
Illinois,Chicago,10.305,United States,2002-05-01,54776,2,
Illinois,Chicago,19.011,United States,2002-06-01,54777,2,True
Illinois,Chicago,24.428,United States,2002-07-01,54778,2,
Illinois,Chicago,23.611,United States,2002-08-01,54779,2,
Illinois,Chicago,21.039,United States,2002-09-01,54780,2,True
Illinois,Chicago,11.651,United States,2002-10-01,54781,2,
Illinois,Chicago,6.517,United States,2002-11-01,54782,2,
Illinois,Chicago,2.835,United States,2002-12-01,54783,2,True
Illinois,Chicago,-1.7990000000000002,United States,2003-01-01,54784,2,
Illinois,Chicago,-1.544,United States,2003-02-01,54785,2,
Illinois,Chicago,3.9760000000000004,United States,2003-03-01,54786,2,True
Illinois,Chicago,7.6179999999999986,United States,2003-04-01,54787,2,
Illinois,Chicago,10.951,United States,2003-05-01,54788,2,
Illinois,Chicago,16.468,United States,2003-06-01,54789,2,True
Illinois,Chicago,21.665,United States,2003-07-01,54790,2,
Illinois,Chicago,24.035,United States,2003-08-01,54791,2,
Illinois,Chicago,18.99,United States,2003-09-01,54792,2,True
Illinois,Chicago,12.694,United States,2003-10-01,54793,2,
Illinois,Chicago,8.571,United States,2003-11-01,54794,2,
Illinois,Chicago,4.154,United States,2003-12-01,54795,2,True
Illinois,Chicago,-2.383,United States,2004-01-01,54796,2,
Illinois,Chicago,1.0070000000000001,United States,2004-02-01,54797,2,
Illinois,Chicago,6.6979999999999995,United States,2004-03-01,54798,2,True
Illinois,Chicago,8.927999999999997,United States,2004-04-01,54799,2,
Illinois,Chicago,12.624,United States,2004-05-01,54800,2,
Illinois,Chicago,16.916,United States,2004-06-01,54801,2,True
Illinois,Chicago,21.188000000000002,United States,2004-07-01,54802,2,
Illinois,Chicago,20.514,United States,2004-08-01,54803,2,
Illinois,Chicago,20.675,United States,2004-09-01,54804,2,True
Illinois,Chicago,13.769,United States,2004-10-01,54805,2,
Illinois,Chicago,9.228,United States,2004-11-01,54806,2,
Illinois,Chicago,2.157,United States,2004-12-01,54807,2,True
Illinois,Chicago,-0.16700000000000004,United States,2005-01-01,54808,2,
Illinois,Chicago,3.234,United States,2005-02-01,54809,2,
Illinois,Chicago,2.636,United States,2005-03-01,54810,2,True
Illinois,Chicago,9.797,United States,2005-04-01,54811,2,
